凉亭	pavilion
公爵	dukedom
案	table
间皮瘤	mesothelioma
情态	spirit
铰链	hinge
权益	rights
于事无补	unhelpful
扭力	torque
年纪	age
建筑物	building
冰镇	iced
山猫	bobcat
先见	foresight
清贫	destitute
刚健	robust
居	house
细软	valuables
带扣	buckle
萃	collection
专属	personal
锦	bright
昏头昏脑	confused
半封建	semi-feudal
碎掉	broken
独个	alone
民居	houses
溢	excessive
真凶	culprit
布朗尼	brownie
天井	atrium
刊号	issue
穿堂风	draft
婧	virtuous
城市	city
不可救药	hopeless
讯息	information
中常	ordinary
映像	image
毫不费力	effortless
窘	distressed
守财奴	scrooge
朱	cinnabar
下	downwards
菌苗	vaccine
坝	embankment
足迹	spoor
文饰	rhetoric
大军	army
鲨鱼	shark
隐私	secrets
赞辞	praise
外骨骼	exoskeleton
猫儿	kitten
困局	dilemma
火烈鸟	flamingo
技术员	technician
狂傲	haughty
联氨	hydrazine
挑花	cross-stitch
实用	practical
凳子	stool
自装	self-loading
玩笑	joke
田间	farm
柳叶刀	lancet
朔	north
旺	blooming
体系	system
刺骨	cutting
酵	fermentation
军阀	junta
小碟子	saucer
坯子	base
安排	arrangements
色狼	pervert
弁	preceding
这一阵子	currently
被害者	victim
毒药	poison
姘妇	concubine
可乐	amusing
心得	knowledge
牛油果	avocado
柠	lemon
壮阔	grand
买断	severance
有雄心	ambitious
机关	mechanism
凄清	somber
交汇	cooperation
投契	congenial
号	mark
瘩	scab
累	weary
约摸	about
档	gap
曹	generation
样板	example
滤液	filtrate
精炼	polished
小资	yuppie
吾人	we
长官	sir
订位	reservation
泡漩	whirlpool
小广播	grapevine
勃	suddenly
平静	tranquil
大象	elephant
地区	local
折叠	folding
含义	hint
凶神	demon
熏天	overpowering
哪里	anywhere
责备	condemnation
性格	disposition
蠹虫	vermin
近来	lately
白嫩	delicate
杂耍	vaudeville
合宪性	constitutionality
线路	wire
非党	non-party
时而	occasionally
厄	distressed
时节	time
楼层	story
多糖	polysaccharide
影响	effect
屡	repeatedly
芯	wick
在	at
公司	corporation
捐赠	benefaction
损	mean
冉冉	gradually
愚笨	stupid
孕	pregnant
年年	annually
烫发	perm
附则	bylaw
茁壮	vigorous
茶钱	gratuity
止境	limit
阳伞	parasol
章程	constitution
高扬	uplift
衍射	diffraction
垂直	perpendicular
小巧玲珑	exquisite
坦	level
传	biography
稳定性	stability
香子兰	vanilla
甩尾	drifting
痰液	saliva
演出	performance
危险	dangerous
附属	subordinating
河沟	ditch
丰满	ample
工钱	wages
张皇	flustered
卢	troublesome
痛痒	consequence
志趣	interest
气压计	barometer
纵横	criss-crossed
萜	terpene
脂	fat
条件	factor
护卫舰	corvette
万丈	lofty
缓刑	probation
雾霾	smog
气候	situation
霜白	frosty
颜面	face
实情	truth
起诉书	indictment
苔	coating
庇	shelter
行止	tracks
奶头	teat
多产	prolific
整个	total
才	only
差使	billet
妨害	harmful
佣工	servant
轻狂	frivolous
肉	meat
金	golden
飘带	streamer
源泉	fountainhead
如今	nowadays
计较	stratagem
百分数	percentage
慷慨	liberal
夜晚	night
入木三分	penetrating
结果	outcome
守信用	trustworthy
权利	privilege
龟公	pimp
刺激性	irritating
座椅	seat
自导	self-guided
镞	arrowhead
不停	incessant
迅即	immediately
介质	media
独生	only
点心	dessert
住舍	house
兵	weapons
陋	low
近郊区	suburbs
充填物	filling
热敏	thermal
优等	high-class
毛皮	pelt
秀丽	pretty
巍巍	imposing
东西	person
倚靠	support
景色	scenery
骄气	arrogance
倍数	multiple
雄伟	magnificent
装船	shipment
法律	law
面容	appearance
名片	card
伊玛目	imam
干脆	blunt
契据	deed
笑话	joke
含蓄	reserved
毫克	milligram
羞怯	timid
涓滴	trickle
剪子	clippers
震动	vibration
犹	still
坚硬	solid
包厢	box
棉	cotton
肌体	organism
认知	understanding
糜烂	dissipated
用法	usage
目镜	eyepiece
草料	fodder
对心	congenial
房	house
细微	fine
晚上	night
义警	vigilante
衣领	neck
接收器	receiver
伪装	disguise
棹	scull
十五	15
虔信	devout
教理	doctrine
大意	careless
林	woods
规律	rhythm
擂台	arena
荆棘	brambles
非正式	unofficial
关键	crux
起义	uprising
受权	authorized
浩浩	expansive
落拓	unconventional
配偶	spouse
褶子	wrinkle
运动场	playground
圆	full
行动	mobile
岂有此理	absurd
飞速	rapid
码字	numeral
幼马	filly
站台	platform
同班同学	classmate
匮	lacking
特殊	extraordinary
编剧	screenwriter
即席	improvised
肉丸	meatball
较为	fairly
边线	sideline
当量	yield
报导	report
兴致	mood
青筋	veins
山壑	valleys
冷寂	lonely
地毯	carpet
生动	vivid
真容	portrait
轨道	orbit
困苦	deprivation
长波	longwave
五角形	pentagon
开交	finish
孤寒	miserly
排场	ostentation
洪灾	flood
大总统	president
错误	wrong
忧惧	apprehension
郎君	pimp
新雅	fresh
一同	together
理应	should
憔	haggard
电梯	elevator
库	library
窑	oven
副词	adverb
非自然	unnatural
超文本	hypertext
谬误	error
低三下四	servile
不尽	endlessly
装饰	decorative
山顶	hilltop
债主	creditor
械	tool
大麻	cannabis
哞	moo
食料	foodstuff
嫽	good
老公	eunuch
神学	theological
螺丝	screw
会议	meeting
村里	village
兴味	interest
不公	unjust
阻留	interception
句式	syntax
全力	fully
椿	father
滥	overflowing
钥	key
机警	vigilant
硬体	hardware
老辈	ancestors
对局	position
挽具	harness
音色	tone
独木舟	canoe
磨人	bothersome
见习生	probationer
底座	base
拖船	tugboat
一惊一乍	flustered
产业	property
主人公	hero
青春	youth
洗发乳	shampoo
呆板	stiff
下颔骨	mandible
容器	vessel
商	merchant
蛮荒	savage
天井	veranda
字幕	subtitle
反贪	anti-corruption
荨麻疹	urticaria
雪橇	sledge
朊	protein
肮脏	filthy
外套	jacket
非宗教	non-religious
君	ruler
幻梦	illusion
不闻不问	uncritical
猛料	awesome
串行	serial
禅	meditation
爽然	carefree
滑溜溜	smooth
浓重	deep
行为	behavior
气冲霄汉	courageous
乐趣	delight
就是	even
监工	foreman
远距离	long-distance
铺面	paving
景致	view
集合	set
改选	reelection
硬气	firm
炉	furnace
对面	across
滚子	roller
嘎嘎	very
运营	operation
压不碎	indomitable
寂寥	desolate
新鲜	freshness
糖浆	syrup
体团	community
感人	moving
失语	aphasia
角色	persona
妥贴	satisfactorily
喉	larynx
慧眼	acumen
警句	aphorism
典型	typical
腌黄瓜	pickle
交易额	turnover
可可	cocoa
世	epoch
澄清	limpid
香气	incense
痴傻	foolish
合法性	legitimacy
冥顽	stupid
佃	farmer
畛域	scope
址	location
领班	supervisor
战斗舰	battleship
崴	precipitous
袖口	cuff
手指	finger
集萃	treasury
易取得	accessible
嘈杂	noisy
连连	repeatedly
采暖	heating
瘼	distress
棒冰	popsicle
二	stupid
火儿	fire
预约	booking
替代品	substitute
前例	precedent
景色	view
云	cloud
建设	constructive
那	that
推理	speculative
促	urgent
拧	stubborn
旁人	onlookers
是以	thus
大驾	you
奇妙	fantastic
懒散	lazy
计	ruse
炉	stove
海洋性	maritime
腹水	ascites
天皇	emperor
笨蛋	idiot
虚无缥缈	illusory
疱	boil
电抗	reactance
焚尸炉	crematorium
来复枪	rifle
进攻	attack
油光	slick
协定	agreement
扩张	expansion
商品化	commodification
乙型	beta-
同学	classmate
钯	palladium
再	re-
风机	ventilator
抢险	emergency
泊	lake
咪咪	tits
不动	motionless
冲	thoroughfare
红	bonus
明晃晃	bright
礼拜	week
殷切	ardent
队	squadron
裂罅	fissure
专制	dictatorship
舷梯	ramp
而且	furthermore
猝	abrupt
那里	there
大能	almighty
淡定	unperturbed
典狱长	warden
流量	throughput
折叠式	folding
捐款者	donor
膛	throat
一席之地	place
聘书	contract
赠品	gift
连绵	uninterrupted
旅舍	inn
万般	extremely
喷出	belch
家族	clan
汹涌	turbulent
冥府	hell
稳妥	dependable
腰包	purse
一团糟	chaos
高冷	reserved
文字	script
才分	ability
腹股沟	groin
下水	downstream
理性	reason
六神无主	distracted
门洞	passageway
妓女	prostitute
脾脏	spleen
饲养场	farm
选手	contestant
了得	appalling
博客	weblog
肉麻	maudlin
热乎	affectionate
干旱	dry
忿	anger
独家	exclusive
恩怨	resentment
较	rather
水汪汪	limpid
繁忙	busy
孜孜	hardworking
西格玛	sigma
自由自在	leisurely
胆结石	gallstone
主持人	anchor
滞留	retention
后加	postposition
宽屏	widescreen
腰胯	waist
戏剧化	theatrical
陋	vulgar
感想	impressions
组图	map
刀枪不入	untouchable
胚芽	sprout
黑暗	darkness
芜菁	turnip
流域	valley
无味	tasteless
光学	optics
冲突	collision
炮手	gunner
仿制品	fake
沉缓	unhurried
响	noise
银根	money
表位	epitope
借此	thereby
棻	perfume
株式会社	corporation
缠	tangle
史诗般	epic
澥	creek
这样	so
听说	hearsay
扳机	trigger
散架	exhaustion
磁性	magnetism
石破天惊	breakthrough
行家	expert
呆瓜	fool
规范	specification
手	convenient
稠	thick
隘	defile
学说	theory
基普	kip
严加	stringently
缓冲	buffer
绝然	completely
框架	frame
衰退期	recession
中央	middle
泱	boundless
钟	o'clock
鲵	salamander
热络	lively
仓促	hurriedly
桃花心木	mahogany
貘	tapir
被害人	victim
盖	cover
马达	motor
红润	ruddy
所属	affiliated
好命	lucky
落水管	drainpipe
机构	structure
尖锐	penetrating
书房	studio
装订	bookbinding
就	only
雷人	terrific
一次性	single-use
长条	strip
选举人	elector
块	chunk
瓜	gourd
其自身	proprietary
合理	reasonable
恶心	disgust
名数	household
原则	principle
母体	matrix
诚然	indeed
颇	oblique
尘土	dust
亟	frequently
瓦特	watt
不意	unpreparedness
奢侈	luxurious
马车	chariot
恶煞	fiend
浓厚	dense
有得有失	trade-off
按季	quarterly
兴隆	thriving
外教	greenhorn
泽	luster
晨	daybreak
动态	development
饱学	scholarly
症候	disease
我方	we
鸽	pigeon
麦克	microphone
独来独往	unsociable
牙人	middleman
研讨会	seminar
韪	correct
分毫	fraction
空手	karate
横财	windfall
词汇	word
经度	longitude
妄	rash
内鬼	traitor
船舶	boats
试验性	experimental
前提	premise
剂	dose
无所不知	omniscient
法理	jurisprudence
奇袭	raid
绝代	peerless
海绵	sponge
模糊不清	indistinct
罪恶	crime
前瞻性	prescience
龟裂	fissured
洋菜	agar
精神	consciousness
回升	rally
使得	usable
集合体	aggregate
尖	pointed
拟态	mimicry
蜂巢	honeycomb
上午	morning
反面	negative
识趣	discreet
姑娘	girl
遗迹	vestige
层	repeated
死气沉沉	lifeless
懋	luxuriant
汽车	car
尖锐	sharp
仇	foe
苦头	sufferings
前身	forerunner
姨妹	sister-in-law
所闻	heard
单纯	pure
老奸巨猾	cunning
狠狠	resolutely
战火	conflagration
还愿	votive
顾虑	misgivings
檄	dispatch
光子	photon
一律	all
运营商	operator
林业	forestry
厘清	clarification
曲目	program
孜孜	assiduous
耳鸣	tinnitus
帐	screen
笃实	loyal
麻	sesame
杆子	club
完	complete
艰难	challenging
巨噬细胞	macrophage
精囊	spermatophore
利	favorable
共产主义	communism
老外	amateur
深	dark
显达	illustrious
水龙	hose
神经病	neuropathy
两下	twice
非政府	non-governmental
纪	discipline
纤细	slim
唛	mark
缠绵	lingering
形迹	manner
文牍	secretary
玉兰花	magnolia
手指头	finger
凹痕	notch
岸标	lighthouse
铁锈	rust
双面	double-edged
盈利	profit
无上	supreme
海底	seafloor
山鸡	pheasant
屠夫	butcher
汗衫	shirt
恐慌	panicky
轨迹	orbit
狼	wolf
冢	senior
熏衣草	lavender
梗犬	terrier
大客车	coach
麻布	sackcloth
现行	current
隰	low
符号	symbol
毒品	drugs
暖房	hothouse
月经	menstruation
贞操	virtue
影	trace
船	ship
活命	life
捧腹	hilarious
沙堡	sandcastle
疮口	wound
讷讷	mumbling
自私自利	selfish
代表团	delegation
役男	draftee
货色	stuff
长椅	bench
八开	octavo
蒲公英	dandelion
服帖	appropriate
显见	obvious
中间	intermediate
珍贵	precious
红	revolutionary
矿床	deposit
效价	valence
急先锋	pioneer
满足	satisfied
欲望	appetite
发窘	disconcerted
行列式	determinant
善意	benevolence
哀伤	heartbroken
拇	thumb
低微	feeble
开局	opening
理	truth
典雅	refined
愚钝	stupid
猛	suddenly
特务	operative
噜	chatter
勤	constant
水泡	bubble
倥偬	destitute
不虞	contingency
愿	hoped-for
广播员	broadcaster
程序	procedures
术语	terminology
感情	sentiment
蚂蚱	locust
仁术	benevolence
祭物	sacrifices
菜	dish
不合时宜	inopportune
词缀	affix
轮机手	helmsman
轩昂	high
龈炎	gingivitis
坚固	firmly
桔子	tangerine
彩	applause
复印机	photocopier
萧瑟	desolate
闲雅	elegant
大半	most
最新	newest
畸	unbalanced
破烂	rubbish
边远	remote
热土	homeland
静音	silent
良心	conscience
绰约	graceful
现代性	modernity
柙	cage
唯恐	lest
硅藻	diatom
青黄	sallow
导语	introduction
设若	if
风尘	prostitution
会合处	joint
欠妥	inadequate
忧思	pensive
差分	differential
响当当	famous
铲子	spade
环境	ambient
蛇	serpent
舢	sampan
咱们	you
运输	haulage
摄入量	intake
静	calm
沉凝	congealed
信念	faith
耐	patient
天敌	predator
发烧友	zealot
早知	foreknowledge
赤道	equator
埠头	wharf
院	institution
简述	summary
隆隆	rumble
牧草	pasture
宽舒	happy
可笑	ridiculous
田园	fields
客气	formal
当	ought
猥	humble
套	bend
证照	certificate
特异	distinctive
材积	volume
凸起	protruding
挨着	near
相通	connected
蔓生	liana
瓤	weak
狐狸精	enchantress
异物	monstrosity
糊糊	viscous
偶人	idol
撚	exquisite
犹自	still
告别式	funeral
汩	confused
次数	power
婆婆	grandma
桨	oar
三叶草	clover
虚伪	hypocritical
线	line
于事无补	useless
牧歌	pastoral
服饰	apparel
馊	soured
扣眼	eyelet
肢体	limb
码	number
镇定剂	tranquilizer
特权	privilege
咪唑	imidazole
珍重	precious
卢	black
顿足	stamp
惫	exhausted
步态	tread
套套	methods
低能儿	idiot
规范性	standard
大将军	generalissimo
短吻鳄	alligator
审判者	judge
辈儿	generation
知名度	profile
麻疹	measles
内鬼	spy
不可抗拒	irresistible
意义	significance
狐狸	fox
主词	subject
鸡血石	heliotrope
七荤八素	confused
褶	pleat
太平间	mortuary
纠纷	dispute
马尾	ponytail
慑	afraid
当头	pledge
会期	session
约	treaty
茶房	waiter
裂片	splinter
佣	servant
材质	material
咔叽	khaki
陆	land
相似	similarity
应有	proper
业障	money
可信任	trusty
成样	presentable
黝黑	dark
枭	owl
可燃性	flammability
团	lump
考评	evaluation
加权	weighting
破烂	ragged
诶	hey
精灵	genie
而是	rather
暴政	tyranny
从从容容	unhurried
点大	minuscule
锌	zinc
协同	collaborative
酒店	pub
印记	imprint
滑头	crafty
怀旧	nostalgia
梏	fetters
难听	offensive
新郎	groom
满满	full
谬	absurd
阱	trap
心理	mental
粒	granule
恒	ordinary
祸害	scourge
遗传	heredity
聒噪	noisy
较真	serious
蜜蜡	beeswax
实业家	industrialist
葱	scallion
臭味	stink
排泻物	excrement
胸腺	thymus
肌肤	flesh
河滨	rivulet
热	fervent
酷	hip
观察者	observer
供词	statement
地道	typical
鬼怪	phantom
生育	fertility
地区	regional
瓦器	pottery
淫欲	lust
荷花	lotus
风速计	anemometer
试	experiment
功力	skill
大油	lard
贩子	monger
疙瘩	knot
倪	limit
鹤	crane
电瓶	accumulator
食品	foodstuff
矮胖	roly-poly
步	walk
捩	tear
父亲	father
可是	but
后代	posterity
角龙	ceratopsian
气候	atmosphere
功绩	feat
集管	header
中计	cheated
馊	rancid
插座	outlet
色度	saturation
夜枭	owl
逵	thoroughfare
爱人	spouse
魁首	chief
同窗	schoolmate
崖壁	precipice
愉快	pleasantly
混种	mixed-breed
啷	clank
即兴之作	improvisation
小儿科	pediatric
装备	equipment
基线	base
遗传学	genetics
乒	ping
雨丝	drizzle
尖锐	pointed
哥们	brother
昏迷	stunned
方言	dialect
至上	paramount
牢	prison
傻气	foolish
法院	court
马尾辫	ponytail
不清楚	unclear
油腻	grease
补充	supplementary
轻巧	agile
部队	force
雅丽	elegant
产品	product
家臣	henchman
种差	determinant
鸡奸	buggery
安乐死	euthanasia
自选	optional
总监	inspector-general
盟	union
温热	tepid
牌型	hand
伯母	aunt
无尽	inexhaustible
橹	scull
懑	melancholy
条贯	procedures
笼	cage
不偏不倚	impartial
相仿	similar
牡	male
托儿	tout
水门汀	cement
扈	retinue
便士	penny
细小	fine
灸	moxibustion
二十	20
邪术	sorcery
可容忍	tolerable
午夜	midnight
博大	extensive
大提琴	cello
不懈	unremitting
堆栈	storehouse
终生	lifetime
严明	firm
哈罗	hello
潺潺	babble
内	internal
苒	passing
菲薄	meager
艰苦	arduous
泱泱	grand
城郊	suburbs
三温暖	sauna
惊鸿	lithe
迎面	directly
刊	periodical
锦绣	beautiful
拜	visit
领航	navigator
挛	crooked
配合	matching
双盲	double-blind
硬脂酸	stearate
狂妄	brassy
心焦	worried
有线	cable
把手	handle
姐妹	sister
描写	description
惭	ashamed
主导	dominant
霸王	despot
色迷	lecherous
保育	conservation
切	absolutely
生意	business
刺骨	piercing
舞者	dancer
感知	perception
飨宴	feast
夷狄	barbarians
蒙	drizzle
次数	frequency
哲	wise
明明	plainly
锂	lithium
灵气	cleverness
私底下	privately
总社	cooperation
奶奶	boobies
轱辘	wheel
人品	appearance
房	room
词不达意	senseless
软泥	silt
褐煤	lignite
心切	eager
紫色	violet
N挡	neutral
餐点	food
抵抗力	immunity
自残	self-harm
铁齿	opinionated
敬称	honorific
变通	flexible
错失	fault
沥青	bitumen
杠	flagpole
婀	unstable
冥想	meditation
后备箱	boot
隐晦	veiled
从者	attendant
有效性	validity
电影	movie
灰蒙蒙	overcast
精密	exact
棰	whip
变动	change
无牌	unlabeled
外面	exterior
讲台	rostrum
缘	edge
鸱鸮	owl
便当	lunchbox
训令	instruction
临床	clinical
满	quite
祖母绿	emerald
兴隆	flourishing
却	however
刀	blade
领导	lead
相异	different
自行	voluntary
倔强	obstinate
挂靠	affiliation
周章	flustered
幼兽	cub
汉奸	traitor
退休金	pension
粹	pure
老旧	outmoded
报人	newsman
棕	palm
策略	adroit
稀缺	scarcity
仓库	warehouse
料器	glassware
愚昧	ignorance
勤	hardworking
浅显	plain
反犹太主义	antisemitism
煞神	fiend
觉	thinking
隙	crack
便道	sidewalk
私自	private
挥霍无度	extravagant
捣	stir
海苔	nori
单元房	apartment
寥落	sparse
不可分割	inalienable
焦虑	apprehensive
约会	date
小结	summary
庭院	courtyard
疏疏	neat
棚	canopy
融资	financing
嫌	suspicion
真皮层	dermis
濒海	coastal
圆满	satisfactory
妆奁	trousseau
点阵	lattice
角膜炎	keratitis
贩夫	peddler
醇美	superb
行得通	realizable
廊	porch
诀窍	key
呼叫器	pager
乡气	uncouth
诡辩家	sophist
甚钜	considerable
盆	basin
请求	request
潜心	single-minded
浩	vast
约莫	about
颎	blaze
上坡	upslope
鲸	whale
江	river
共	altogether
昂扬	high-spirited
志气	resolve
作用	function
引擎盖	hood
有颌	jawed
神乎其技	virtuosic
反气旋	anticyclone
渊远	deep
乐陶陶	joyful
巧妙	artifice
不断	unceasing
职务	job
围篱	fence
蜢	grasshopper
学期	term
上个	last
起劲	enthusiastically
海波	wave
涵义	content
伶人	actress
朝三暮四	indecisive
哲理	philosophy
绵密	meticulous
土气	uncouth
狡猾	sly
忡	uneasy
淋巴瘤	lymphoma
欢宴	celebration
夹子	clip
眼前	now
主顾	client
酬劳	reward
席	banquet
潭	pit
冰雹	hail
扎扎实实	reliable
口号	slogan
龙	dragon
合作方	partner
艳	amorous
井喷	blowout
手推车	wheelbarrow
机关	organization
公园	park
区区	trifling
原则	doctrine
全才	all-rounder
只是	merely
柔	yielding
手腕	skill
色调	hue
尸	corpse
情事	feelings
乐府	yuefu
缝线	suture
至人	sage
娇	frail
阿嬷	grandma
韫	contain
气概	spirit
竞争者	competitor
奖品	award
锦标	trophy
简练	succinct
看好	optimistic
大丽花	dahlia
絮絮叨叨	long-winded
雪泥	slush
煞是	very
均等化	leveling
穿插	interlude
天明	dawn
甲虫	beetle
种类	category
便宜	inexpensive
够意思	great
效果	effect
自如	freely
再	another
瘪	sunken
宾词	predicate
行脚	itinerant
连枷	flail
曾祖	great-grandfather
名称	name
不得了	extremely
演习	maneuver
母老虎	vixen
兄弟	fraternal
免职	sacking
海产	marine
气韵	flavor
不满	dissatisfied
狗屁	bullshit
传道部	mission
沦落	impoverished
交谊	communion
书生	intellectual
栓皮	cork
油料	oil
冥	deep
宽弘	generous
村民	villager
粮秣	fodder
青白	pale
幼苗	sapling
丝绵	down
单语	monolingual
中	middle
疯	insane
乱伦	immorality
仡	brave
零嘴	nibbles
鸟雀	bird
有的	some
本质	essence
经陆路	overland
交通	transportation
面儿	cover
意外	mishap
成员	member
分配器	dispenser
打击	blow
茨冈	gypsy
零用钱	allowance
异	surprising
趔	stumble
身影	silhouette
脂膏	riches
车	rook
李木	blackthorn
压缩	compression
笔名	pseudonym
确实	true
灰土	dust
文摘	summary
学海	erudite
猫眼	peephole
随性	casual
机械性	mechanical
骨坛	urn
专横	imperious
浪漫	romantic
巷	alley
哈喇子	saliva
类目	category
俄顷	presently
楬	tally
网桥	bridge
颓坏	decrepit
局	narrow
财赋	property
可嘉	laudable
南方	south
受潮	damp
卧式	lying
好几	several
姿	disposition
萋萋	abundant
马夫	pimp
反动	reaction
不平	injustice
谍报	intelligence
余烬	ember
白日	daytime
外界	external
半路	midway
天明	daybreak
诽闻	scandal
金丝雀	canary
数学家	mathematician
实况	scene
底	base
温柔	tender
抛物线	parabola
驳	variegated
酸楚	forlorn
报纸	newspaper
迷误	misconception
乱象	madness
幅员	extent
鞭辟入里	trenchant
谢意	gratitude
度量	tolerance
幼小	young
麻将	mahjong
庶几	maybe
无极	everlasting
硝石	niter
公证	acknowledgement
进阶	advanced
出境	outbound
急躁	irritable
溥	extensive
异食癖	pica
屠场	slaughterhouse
撕裂	laceration
终端	end
獗	rude
中	center
深红色	scarlet
田鸡	frog
松饼	muffin
包袱	punchline
杆	lever
常	always
定弦	tuning
态	form
疯	mad
有人	people
不顺	adverse
不够	inadequate
漩	whirlpool
魅	magic
鸡鸡	penis
涂鸭	graffiti
命脉	lifeline
蒙蒙	drizzle
曲目	repertoire
鹿	deer
法儿	way
微	slightly
开山刀	machete
倒数	reciprocal
教徒	disciple
雹子	hail
陌	street
平平	mediocre
悲歌	elegy
市曹	market
巨蛋	arena
顶针	thimble
远期	long-term
种类	kind
营收	income
可燃性	flammable
小	tiny
碎布条	shred
爽脆	quick
解离	dissociation
水池	pool
辱	self-deprecating
选举权	suffrage
陆上	land-based
寻的	homing
度	extent
习俗	convention
纵隔	mediastinum
大	greatly
浣熊	raccoon
志愿者	volunteer
敏感	susceptible
百分率	percent
午餐	lunch
匹敌	rival
个子	height
地方	area
楚楚	lovely
里头	inside
徽记	insignia
轻	light
谆	earnest
威灵	prestige
醋劲	jealousy
清晰度	definition
规范	norm
太白粉	cornstarch
尖顶	cusp
魔幻	illusion
嘉宾	guest
通畅	clear
陈词滥调	commonplace
火势	lively
洲	continent
异	unusual
滴水不漏	watertight
男巫	wizard
一小撮	handful
狗吠	bark
某某	so-and-so
闪闪	flickering
肿块	growth
间脑	diencephalon
手掣	handbrake
阔气	lavish
高强	excellent
疗愈	therapy
诚信	honesty
鬼	ghost
啤酒厂	brewery
恶性	wicked
贡	gifts
